english,korean,example
ambiguous,모호한,The instructions were ambiguous and hard to follow.
diligent,근면한,She is a diligent student who never misses class.
eloquent,말을 잘하는,He gave an eloquent speech that moved the audience.
fundamental,근본적인,Exercise is fundamental to maintaining good health.
humble,겸손한,Despite his great success he remained humble.
inevitable,불가피한,Change is inevitable in a fast-moving world.
justify,정당화하다,Can you justify your decision with solid evidence?
keen,예리한/열정적인,She has a keen interest in environmental science.
linger,오래 머물다,The smell of coffee lingered in the room all morning.
meticulous,꼼꼼한,He was meticulous in checking every detail of the report.
